Date,BTC_Price,MSTR_Price,BTC_Holdings,NAV,Market_Cap,NAV_Premium
2022-06-23,21085.876953125,18.83099937438965,124391.0,2622893320.076172,4594763847.351074,0.751792119100611
2022-06-24,21231.65625,20.54400062561035,124391.0,2641026952.59375,5012736152.648926,0.8980253676419025
2022-06-25,21502.337890625,,124391.0,2674697312.5527344,,
2022-06-26,21027.294921875,,124391.0,2615606242.626953,,
2022-06-27,20735.478515625,19.67300033569336,124391.0,2579306908.0371094,4800212081.90918,0.8610472708585936
2022-06-28,20280.634765625,18.61199951171875,124391.0,2522728439.1308594,4541327880.859375,0.8001651745060486
2022-06-29,20104.0234375,17.9689998626709,124391.0,2500759579.4140625,4384435966.491699,0.7532416960765934
2022-06-30,19784.7265625,16.43000030517578,124391.0,2461041921.8359375,4008920074.4628906,0.628952371307936
2022-07-01,19269.3671875,16.677000045776367,124391.0,2396935853.8203125,4069188011.1694336,0.6976624571257644
2022-07-02,19242.255859375,,124391.0,2393563448.6035156,,
2022-07-03,19297.076171875,,124391.0,2400382602.095703,,
2022-07-04,20231.26171875,,124391.0,2516586876.4570312,,
2022-07-05,20190.115234375,18.76799964904785,124391.0,2511468624.1191406,4579391914.367676,0.8233920465456055
2022-07-06,20548.24609375,18.829999923706055,124391.0,2556016879.8476562,4594519981.384277,0.7975311577981911
2022-07-07,21637.587890625,21.951000213623047,124391.0,2691521195.3027344,5356044052.124023,0.9899691154100652
2022-07-08,21731.1171875,22.128000259399418,124391.0,2703155398.0703125,5399232063.293458,0.9973813074704398
2022-07-09,21592.20703125,,124391.0,2685876224.8242188,,
2022-07-10,20860.44921875,,124391.0,2594852138.7695312,,
2022-07-11,19970.556640625,20.09000015258789,124391.0,2484157511.0839844,4901960037.231445,0.9732887368693587
2022-07-12,19323.9140625,19.25200080871582,124391.0,2403720994.1484375,4697488197.32666,0.9542568412732244
2022-07-13,20212.07421875,19.55500030517578,124391.0,2514200124.1445312,4771420074.462891,0.8977884968828364
2022-07-14,20569.919921875,20.458999633789062,124391.0,2558712909.001953,4991995910.644531,0.9509792963024133
2022-07-15,20836.328125,21.39800071716309,124391.0,2591851691.796875,5221112174.987794,1.014433229923009
2022-07-16,21190.31640625,,124391.0,2635884648.0898438,,
2022-07-17,20779.34375,,124391.0,2584763348.40625,,
2022-07-18,22485.689453125,22.562999725341797,124391.0,2797017396.763672,5505371932.983398,0.9683009263201101
2022-07-19,23389.43359375,26.71699905395508,124391.0,2909435034.1601562,6518947769.16504,1.2406232456215724
2022-07-20,23231.732421875,28.87700080871582,124391.0,2889818427.689453,7045988197.32666,1.438211387197867
2022-07-21,23164.62890625,28.97100067138672,124391.0,2881471354.2773438,7068924163.818359,1.4532342316452438
2022-07-22,22714.978515625,28.191999435424805,124391.0,2825538892.5371094,6878847862.243652,1.4345259873832399
2022-07-23,22465.478515625,,124391.0,2794503338.0371094,,
2022-07-24,22609.1640625,,124391.0,2812376526.8984375,,
2022-07-25,21361.701171875,26.586000442504883,124391.0,2657203370.470703,6486984107.971191,1.441282507790163
2022-07-26,21239.75390625,23.763999938964844,124391.0,2642034228.1523438,5798415985.107422,1.1946786015571167
2022-07-27,22930.548828125,26.239999771118164,124391.0,2852353899.279297,6402559944.152832,1.2446583314120188
2022-07-28,23843.88671875,27.57200050354004,124391.0,2965964912.8320312,6727568122.86377,1.268256139429511
2022-07-29,23804.6328125,28.606000900268555,124391.0,2961082080.1796875,6979864219.665527,1.357200520169967
2022-07-30,23656.20703125,,124391.0,2942619248.8242188,,
2022-07-31,23336.896484375,,124391.0,2902899890.5878906,,
2022-08-01,23314.19921875,27.573999404907227,124391.0,2900076555.0195312,6728055854.797363,1.3199580173675973
